iter	Logloss
0	0.6873382419
1	0.6820748386
2	0.6762700179
3	0.6712744108
4	0.6666738617
5	0.661749832
6	0.6564972967
7	0.6531588238
8	0.6478125589
9	0.6427996314
10	0.6381939042
11	0.6335477707
12	0.6291533541
13	0.6250910774
14	0.6205613902
15	0.6167789316
16	0.6126427375
17	0.6092525776
18	0.6053846723
19	0.6019729894
20	0.5986953475
21	0.5961884799
22	0.592723196
23	0.5888090965
24	0.5854928239
25	0.581833718
26	0.5791368867
27	0.5763944354
28	0.5733688638
29	0.5702109231
30	0.568465079
31	0.5662917448
32	0.5632766807
33	0.5612526419
34	0.5579702757
35	0.5548550461
36	0.5519235322
37	0.5496125017
38	0.5466387847
39	0.544170466
40	0.5416603666
41	0.5387935522
42	0.5362430392
43	0.5335375072
44	0.5311552083
45	0.5287318935
46	0.5266095434
47	0.5242322579
48	0.5221121391
49	0.5195470212
50	0.5174852737
51	0.5151134686
52	0.5134289533
53	0.5115336691
54	0.5095700969
55	0.5073491979
56	0.5056225243
57	0.5036515278
58	0.5020494467
59	0.5001091067
60	0.4982411897
61	0.4962008092
62	0.494319477
63	0.4925409363
64	0.4913934778
65	0.4898649286
66	0.4887249154
67	0.4869534892
68	0.4861370935
69	0.4848454308
70	0.4833637458
71	0.481542731
72	0.4804703586
73	0.478875722
74	0.4780976282
75	0.4769474786
76	0.4754293941
77	0.4740492003
78	0.472523758
79	0.471302625
80	0.4698672118
81	0.4686703624
82	0.4676960455
83	0.4669198905
84	0.4661007883
85	0.4651873737
86	0.4642254475
87	0.462838183
88	0.4616854286
89	0.4605591523
90	0.4593966093
91	0.4582796655
92	0.4576805986
93	0.4565824905
94	0.4558697498
95	0.454742625
96	0.4539096739
97	0.4531431801
98	0.4521508611
99	0.4509812748
100	0.4499665442
101	0.4494481534
102	0.4483289164
103	0.4472968818
104	0.4465216374
105	0.445560245
106	0.4450162996
107	0.4446483952
108	0.4441047152
109	0.4433483821
110	0.4423889826
111	0.4420087229
112	0.4414685418
113	0.440972718
114	0.4400219852
115	0.4393400453
116	0.4387335455
117	0.4379113043
118	0.4370677418
119	0.4363261029
120	0.4354576602
121	0.4350714381
122	0.4342662467
123	0.4338164158
124	0.4334630183
125	0.4327264377
126	0.4320535965
127	0.4315657016
128	0.430630304
129	0.4302583652
130	0.4297465539
131	0.4290027823
132	0.4283435771
133	0.4277151919
134	0.4269190318
135	0.4265356439
136	0.4261602472
137	0.4259703898
138	0.4256394025
139	0.4251305937
140	0.42473377
141	0.4243041673
142	0.4235853009
143	0.4228913443
144	0.422591324
145	0.4221174569
146	0.4215648256
147	0.4208439513
148	0.4206326607
149	0.4200142939
150	0.4198556961
151	0.4195983019
152	0.4188240266
153	0.4184708137
154	0.4179420006
155	0.4178171457
156	0.4175487724
157	0.4170566851
158	0.4166282999
159	0.4161110991
160	0.4155007974
161	0.4151115787
162	0.4146046997
163	0.4142435453
164	0.4138931583
165	0.4133972791
166	0.4130975961
167	0.4127038622
168	0.4124965181
169	0.4118863348
170	0.4114484962
171	0.4111981136
172	0.4107351082
173	0.4102482712
174	0.4098927426
175	0.4097592146
176	0.4092753793
177	0.4088754135
178	0.4085626451
179	0.4083480959
180	0.408106915
181	0.4078868184
182	0.4076637081
183	0.4071673272
184	0.4065816121
185	0.4065123059
186	0.406160271
187	0.4059060453
188	0.4058391955
189	0.4056889433
190	0.4054542474
191	0.4049688638
192	0.404775084
193	0.4045113538
194	0.404188626
195	0.4039252998
196	0.4036202375
197	0.4033035693
198	0.4028650083
199	0.402524573
200	0.4020760196
201	0.4017558736
202	0.4014199404
203	0.401108006
204	0.4007858013
205	0.4005651719
206	0.4002660126
207	0.3998017686
208	0.3993931692
209	0.39903319
210	0.3988055903
211	0.3985039095
212	0.398025544
213	0.3976777355
214	0.3973844862
215	0.3972014131
216	0.3970183626
217	0.3968433098
218	0.3965976388
219	0.3962751816
220	0.3958536723
221	0.3956919005
222	0.3955758561
223	0.3955242554
224	0.3951356092
225	0.3948249768
226	0.3944966377
227	0.3942569663
228	0.3939352885
229	0.393822618
230	0.3936929876
231	0.393422856
232	0.3931821025
233	0.3930109745
234	0.3927384936
235	0.3924670847
236	0.3921458575
237	0.392063961
238	0.3918168564
239	0.3916607256
240	0.391458281
241	0.3911365109
242	0.3910855993
243	0.3910471711
244	0.3908128134
245	0.3906294805
246	0.3903653812
247	0.3902940487
248	0.3901028356
249	0.3897772817
250	0.3895476672
251	0.389276244
252	0.3891047694
253	0.3889065759
254	0.3886499715
255	0.388492619
256	0.3883218823
257	0.3881548065
258	0.3878200651
259	0.387502555
260	0.3872078842
261	0.3869862075
262	0.3867728468
263	0.3864900581
264	0.3861897045
265	0.3860390422
266	0.3859388837
267	0.3856956534
268	0.3854997639
269	0.3852646677
270	0.3851046911
271	0.3849025231
272	0.3847231197
273	0.384432324
274	0.3841788422
275	0.3839023816
276	0.3837027675
277	0.3835040793
278	0.3832838235
279	0.3831148951
280	0.382904818
281	0.3828610674
282	0.3826536592
283	0.3826213795
284	0.3824028666
285	0.3823378234
286	0.3822638943
287	0.3822498747
288	0.3820514149
289	0.3817938959
290	0.381690271
291	0.3814642871
292	0.3812401347
293	0.3810377944
294	0.3808359634
295	0.380600868
296	0.3804471777
297	0.3802171405
298	0.3799775967
299	0.3798461152
300	0.3796676303
301	0.3794842351
302	0.3793952514
303	0.3793842124
304	0.3791845662
305	0.3790246145
306	0.3787214115
307	0.3785861251
308	0.3783508792
309	0.3780709141
310	0.3778749119
311	0.3777307182
312	0.3775645652
313	0.3773795197
314	0.3771577311
315	0.3769697769
316	0.37677907
317	0.3766134285
318	0.3763082096
319	0.3759392404
320	0.3757383422
321	0.3753381109
322	0.3752493936
323	0.3751975874
324	0.3750141219
325	0.3748785769
326	0.3747168478
327	0.3747002124
328	0.3744368372
329	0.374258702
330	0.3739615023
331	0.3738292422
332	0.3737136866
333	0.3735919477
334	0.3734101686
335	0.3734000301
336	0.373211289
337	0.3730450324
338	0.3729802596
339	0.3728389425
340	0.3727551092
341	0.3727406671
342	0.3725186529
343	0.3724647658
344	0.3722294999
345	0.3721176705
346	0.3718252848
347	0.3717023361
348	0.3715585109
349	0.3715510874
350	0.3712270812
351	0.371142952
352	0.3710514861
353	0.3709594054
354	0.3707586082
355	0.3705995323
356	0.3704035557
357	0.3701929998
358	0.369943705
359	0.3698660292
360	0.3698591622
361	0.3697491917
362	0.3694929328
363	0.3694886868
364	0.3693406887
365	0.3690720818
366	0.3688935513
367	0.3687648525
368	0.3686245728
369	0.3685255539
370	0.3684135953
371	0.3683366481
372	0.3680896702
373	0.3680089704
374	0.367867645
375	0.3677122561
