iter	Passed	Remaining
0	2	2871
1	5	2687
2	8	2756
3	11	2901
4	14	2820
5	17	2855
6	20	2870
7	22	2783
8	25	2808
9	29	2884
10	32	2882
11	35	2882
12	37	2884
13	40	2850
14	43	2872
15	46	2871
16	49	2874
17	52	2876
18	55	2874
19	58	2883
20	61	2888
21	64	2865
22	67	2861
23	70	2857
24	73	2863
25	76	2868
26	79	2858
27	82	2867
28	85	2867
29	88	2869
30	91	2846
31	94	2846
32	97	2844
33	99	2818
34	102	2817
35	105	2822
36	108	2833
37	111	2830
38	115	2834
39	117	2831
40	121	2838
41	124	2842
42	127	2839
43	130	2837
44	133	2834
45	137	2844
46	140	2847
47	143	2844
48	146	2842
49	149	2838
50	152	2838
51	156	2847
52	159	2845
53	161	2833
54	164	2829
55	168	2835
56	170	2827
57	174	2828
58	177	2829
59	180	2825
60	183	2828
61	186	2828
62	190	2826
63	193	2824
64	195	2808
65	198	2808
66	201	2803
67	204	2799
68	206	2789
69	209	2778
70	212	2776
71	215	2778
72	218	2778
73	221	2774
74	223	2759
75	226	2755
76	229	2756
77	233	2755
78	236	2752
79	239	2749
80	242	2745
81	244	2741
82	247	2733
83	249	2725
84	252	2723
85	255	2714
86	257	2707
87	261	2705
88	264	2709
89	267	2706
90	270	2703
91	273	2703
92	276	2695
93	279	2698
94	283	2696
95	286	2697
96	289	2695
97	291	2685
98	295	2690
99	298	2688
100	301	2686
101	304	2676
102	307	2673
103	310	2676
104	313	2670
105	316	2668
106	318	2659
107	320	2650
108	323	2641
109	326	2642
110	329	2641
111	332	2632
112	334	2624
113	337	2620
114	340	2618
115	343	2616
116	346	2615
117	350	2616
118	352	2613
119	356	2612
120	359	2613
121	362	2605
122	365	2603
123	367	2595
124	369	2586
125	372	2585
126	376	2585
127	379	2584
128	382	2583
129	384	2576
130	387	2573
131	390	2570
132	394	2570
133	397	2567
134	400	2566
135	403	2565
136	407	2564
137	409	2555
138	411	2549
139	414	2546
140	417	2542
141	420	2539
142	423	2537
143	426	2534
144	428	2525
145	431	2522
146	434	2519
147	437	2521
148	439	2511
149	442	2508
150	444	2501
151	447	2494
152	450	2493
153	454	2494
154	457	2491
155	458	2482
156	461	2475
157	464	2473
158	467	2472
159	470	2471
160	473	2468
161	476	2465
162	479	2462
163	482	2461
164	485	2456
165	488	2454
166	491	2453
167	494	2449
168	496	2442
169	500	2441
170	503	2438
171	505	2433
172	508	2430
173	511	2428
174	514	2426
175	517	2420
176	519	2417
177	523	2415
178	526	2413
179	528	2407
180	530	2402
181	534	2400
182	536	2394
183	539	2392
184	542	2389
185	544	2380
186	547	2379
187	550	2377
188	552	2369
189	554	2361
190	557	2360
191	560	2358
